time,latitude,longitude,depth,mag,nst,gap,dmin,rms,net,id,place,horizontalError,magNst,locationSource
2020-02-17T17:23:55.930Z,19.1901665,-155.4459991,35.59,2.01,23,160,0.06571,0.14,hv,hv71387277,"3km ESE of Pahala, Hawaii",0.77,4,hv
2020-02-17T17:19:22.300Z,35.3415,-117.7726667,4.49,1.07,17,79,0.09509,0.2,ci,ci39074447,"13km WSW of Johannesburg, CA",0.52,18,ci
2020-02-17T17:07:44.580Z,37.5483322,-119.0136642,4.5,1.49,17,215,0.06098,0.02,nc,nc73342420,"10km SSW of Mammoth Lakes, CA",0.92,15,nc
2020-02-17T16:53:51.660Z,35.3433333,-117.7793333,6.41,1.91,37,37,0.09324,0.16,ci,ci39074431,"14km WSW of Johannesburg, CA",0.23,25,ci
2020-02-17T16:42:31.550Z,19.2026672,-155.418335,33.27,2.26,38,156,0.03986,0.12,hv,hv71387217,"6km E of Pahala, Hawaii",0.6,7,hv
2020-02-17T16:32:58.950Z,17.9235,-66.9368,7,1.81,5,251,0.0773,0.05,pr,pr2020048028,"6km SSW of Guanica, Puerto Rico",0.87,3,pr
2020-02-17T16:21:27.040Z,35.7876667,-117.6138333,7.5,1.23,22,117,0.031,0.22,ci,ci39074407,"19km W of Searles Valley, CA",0.38,18,ci
2020-02-17T16:19:58.730Z,35.772,-117.5813333,7.2,1.19,19,130,0.04558,0.15,ci,ci39074399,"16km W of Searles Valley, CA",0.33,16,ci
2020-02-17T16:15:04.120Z,19.2119999,-155.3776703,31.73,2.02,19,176,0.09767,0.13,hv,hv71387187,"10km E of Pahala, Hawaii",0.79,4,hv
2020-02-17T16:13:13.110Z,19.2154999,-155.4206696,34.16,2.19,47,144,0.03096,0.12,hv,hv71387177,"6km E of Pahala, Hawaii",0.53,3,hv
2020-02-17T16:05:35.360Z,17.8411,-66.8878,9,2.08,7,255,0.1343,0.08,pr,pr2020048027,"14km S of Guanica, Puerto Rico",0.64,5,pr
2020-02-17T16:02:45.558Z,61.9773,-148.6508,11.1,1.5,,,,1,ak,ak02027nc42k,"22km NNE of Sutton-Alpine, Alaska",,,ak
